Unnamed: 0,month_date_yyyymm,county_name,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count
,202307,"bristol, ma",549950,365,30,400,0,108,305,2000,712632,497
,202307,"hampshire, ma",524950,137,24,104,0,44,272,1800,560927,171
,202307,"suffolk, ma",999450,1124,50,468,4,220,927,1330,2083551,1261
,202307,"barnstable, ma",949000,688,52,376,8,212,552,1884,1738145,1214
,202307,"nantucket, ma",5150000,117,67,40,0,8,1585,3475,6687419,124
,202307,"franklin, ma",362450,67,29,64,0,12,219,1657,810052,87
,202307,"norfolk, ma",895000,601,31,540,12,160,440,2268,1510070,750
,202307,"middlesex, ma",990000,1210,31,1072,12,332,466,2227,1404789,1478
,202307,"essex, ma",799000,506,25,556,0,132,384,2130,1217425,662
,202307,"hampden, ma",349900,319,21,412,0,116,207,1720,415426,409
,202307,"berkshire, ma",525000,337,46,160,0,76,279,1997,1036142,556
,202307,"dukes, ma",2795000,164,60,56,0,24,1162,2420,3906215,204
,202307,"worcester, ma",529900,629,24,704,8,188,275,1945,615012,817
,202306,"middlesex, ma",980944,1373,20,1680,16,420,463,2224,1397983,1667
,202306,"hampshire, ma",539450,124,23,148,2,16,279,1800,569929,177
,202306,"berkshire, ma",496000,308,42,168,0,76,270,1966,1004764,521
,202306,"bristol, ma",549950,405,25,488,2,100,302,1929,728133,550
,202306,"dukes, ma",2772500,142,56,68,0,14,1163,2292,3841700,178
,202306,"nantucket, ma",4995000,111,54,22,0,12,1590,3395,6419061,117
,202306,"essex, ma",799450,543,17,764,6,152,381,2152,1199989,717
,202306,"worcester, ma",527450,675,18,924,8,210,275,1967,616381,890
,202306,"suffolk, ma",997000,1228,41,704,2,334,928,1309,1989957,1377
,202306,"franklin, ma",382425,64,21,62,0,16,225,1815,815474,81
,202306,"norfolk, ma",941975,652,24,854,18,210,440,2358,1576664,826
,202306,"plymouth, ma",707450,549,26,614,12,132,367,2024,976656,736
,202306,"barnstable, ma",939500,677,45,422,12,160,560,1905,1722181,1218
,202306,"hampden, ma",345400,290,18,378,0,86,214,1680,417028,395
,202305,"suffolk, ma",1024500,1125,38,772,6,294,956,1321,2022435,1296
,202305,"plymouth, ma",694000,504,27,582,10,122,364,1966,975439,702
,202305,"bristol, ma",559950,381,25,432,6,106,303,1921,745404,532
,202305,"dukes, ma",2511250,122,55,54,0,24,1130,2090,3509411,149
,202305,"middlesex, ma",995000,1186,17,1626,22,338,461,2279,1427746,1516
,202305,"nantucket, ma",4880000,107,43,38,0,8,1574,3163,6247676,108
,202305,"hampden, ma",344175,291,18,390,2,110,212,1615,389652,397
,202305,"franklin, ma",367200,55,13,78,0,6,223,1742,886254,72
,202305,"worcester, ma",528698,625,17,900,14,162,276,1981,611097,853
,202305,"norfolk, ma",924925,606,18,772,8,172,433,2333,1550927,796
,202305,"hampshire, ma",553650,127,26,138,0,28,282,1798,566168,168
,202305,"barnstable, ma",923000,620,41,474,6,146,565,1892,1712909,1169
,202305,"berkshire, ma",507450,269,45,172,2,68,274,2016,1022174,456
,202305,"essex, ma",789450,467,15,710,10,108,379,2102,1195032,627
,202304,"hampshire, ma",545000,122,25,140,0,12,282,1800,555754,160
,202304,"hampden, ma",325000,276,18,380,0,76,212,1622,380579,369
,202304,"plymouth, ma",679750,475,32,476,12,124,358,1920,920192,675
,202304,"middlesex, ma",950000,1131,18,1684,20,268,464,2200,1404002,1427
,202304,"suffolk, ma",998000,1045,32,760,4,240,943,1319,2028320,1165
,202304,"barnstable, ma",895000,551,46,436,8,112,539,1928,1729764,1050
,202304,"nantucket, ma",4335000,76,115,28,0,4,1387,3229,6360393,79
,202304,"worcester, ma",524990,577,19,820,20,100,275,1942,606876,743
